
REGIAO DT_ERRO    DT_SUSP    PDF_NAME                                           PMG_NAME                                           RMR_ RMR_NAME                                                                                             RRD_D SAS_NAME                                           IVS_NAME                                             COUNT(1)
------ ---------- ---------- -------------------------------------------------- -------------------------------------------------- ---- ---------------------------------------------------------------------------------------------------- ----- -------------------------------------------------- -------------------------------------------------- ----------
R2     05/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  007  Reter Cartão - falsificado.                                                                                Suspensa inadimplente                              Erro                                                        2
R2     05/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  041  Transação Negada - Reter Cartão - Cartão Perdido.                                                          Suspensa inadimplente                              Erro                                                        1
R2     04/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  057  Transação não Permitida - Portador deve ligar para o emissor e informar o código 57                        Suspensa inadimplente                              Cancelada                                                   1
R2     04/2010    06/2010    Oi Discado Super                                   Débito em Conta Corrente                           99   Cancelamento - cancelado conforme solicitação.                                                             Suspensa inadimplente                              Cancelada                                                   1
R2     05/2010    06/2010    Oi Educa                                           Débito em Conta Corrente                           02   Débito não efetuado - Conta corrente não cadastrada.                                                       Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           99   Cancelamento - cancelado conforme solicitação.                                                             Suspensa inadimplente                              Erro                                                        5
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51035 Suspensa inadimplente                              Erro não refaturável                                      445
R2     05/2010    06/2010    Oi Antivírus                                       Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51300 Suspensa inadimplente                              Erro não refaturável                                       52
R2     06/2010    06/2010    Oi Educa                                           Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51035 Suspensa inadimplente                              Erro não refaturável                                       47
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         RE   Valor Retificado - Cliente Reclamou - RCT                                                                  Suspensa inadimplente                              Erro não refaturável                                        7
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51429 Suspensa inadimplente                              Erro não refaturável                                        7
R2     05/2010    06/2010    Oi Suporte                                         Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51300 Suspensa inadimplente                              Erro não refaturável                                       63
R2     06/2010    06/2010    Oi Antivírus                                       Cartão de Crédito                                  C007 Ajuste a débito                                                                                            Suspensa inadimplente                              Erro com estorno                                            1
R2     05/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  054  Cartão Vencido.                                                                                            Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Educa                                           Débito em Conta Telefônica                         EX   Exclusão do Serviço - quando ocorre a exclusão do serviço de Terceiros                                     Suspensa inadimplente                              Erro não refaturável                                      112
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           00   Débito efetuado.                                                                                           Suspensa inadimplente                              Cancelada                                                   1
R2     05/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           99   Cancelamento - cancelado conforme solicitação.                                                             Suspensa inadimplente                              Erro                                                        1
R2     06/2010    06/2010    Oi Discado Super                                   Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51351 Suspensa inadimplente                              Erro não refaturável                                        1
R2     04/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                   2
R2     06/2010    06/2010    Oi Discado Super                                   Débito em Conta Corrente                           18   Débito não efetuado - Data do Débito anterior à do processamento.                                          Suspensa inadimplente                              Cancelada                                                   1
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           0003 Dados para cobrança incompletos                                                                            Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  007  Reter Cartão - falsificado.                                                                                Suspensa inadimplente                              Erro                                                        2
R2     06/2010    06/2010    Oi Antivírus                                       Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51300 Suspensa inadimplente                              Erro não refaturável                                        5
R2     04/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  007  Reter Cartão - falsificado.                                                                                Suspensa inadimplente                              Cancelada                                                   1
R2     04/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  C007 Ajuste a débito                                                                                            Suspensa inadimplente                              Erro com estorno                                            2
R2     06/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           00   Débito efetuado.                                                                                           Suspensa inadimplente                              Cancelada                                                   2
R2     05/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  C007 Ajuste a débito                                                                                            Suspensa inadimplente                              Erro com estorno                                            2
R2     05/2010    05/2010    Oi Antivírus                                       Débito em Conta Telefônica                         EX   Exclusão do Serviço - quando ocorre a exclusão do serviço de Terceiros                                     Suspensa inadimplente                              Erro não refaturável                                       38
R2     05/2010    05/2010    Oi Discado Super                                   Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51035 Suspensa inadimplente                              Erro não refaturável                                       72
R2     05/2010    05/2010    Oi Educa                                           Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51300 Suspensa inadimplente                              Erro não refaturável                                        5
R2     05/2010    05/2010    Oi Suporte                                         Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51429 Suspensa inadimplente                              Erro não refaturável                                        9
R2     05/2010    05/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51818 Suspensa inadimplente                              Erro não refaturável                                        7
R2     05/2010    05/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51211 Suspensa inadimplente                              Erro não refaturável                                        1
R2     05/2010    05/2010    Oi Suporte                                         Débito em Conta Telefônica                         RE   Valor Retificado - Cliente Reclamou - RCT                                                                  Suspensa inadimplente                              Erro não refaturável                                        3
R2     06/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                  81
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           14   Débito não efetuado - Agência inválida.                                                                    Suspensa inadimplente                              Erro                                                        1
R2     05/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Erro                                                        3
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                  46
R2     05/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                  48
R2     06/2010    06/2010    Oi Suporte                                         Débito em Conta Telefônica                         CF   Crédito em conta futura (Devolução do pagamento)                                                           Suspensa inadimplente                              Erro com estorno                                           81
R2     06/2010    06/2010    Oi Educa                                           Débito em Conta Telefônica                         CF   Crédito em conta futura (Devolução do pagamento)                                                           Suspensa inadimplente                              Erro com estorno                                           17
R2     05/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  001  Transacao Negada                                                                                           Suspensa inadimplente                              Cancelada                                                   1
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Erro                                                        5
R2     05/2010    06/2010    Oi Antivírus                                       Cartão de Crédito                                  007  Reter Cartão - falsificado.                                                                                Suspensa inadimplente                              Erro                                                        1
R2     04/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Cancelada                                                   3
R2     06/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  005  Transação Negada.                                                                                          Suspensa inadimplente                              Cancelada                                                   4
R2     04/2010    06/2010    Oi Antivírus                                       Cartão de Crédito                                  041  Transação Negada - Reter Cartão - Cartão Perdido.                                                          Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  051  Limite Excedido.                                                                                           Suspensa inadimplente                              Cancelada                                                   2
R2     05/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Corrente                           30   Débito não efetuado - Sem contrato de Débito automático.                                                   Suspensa inadimplente                              Erro                                                        1
R2     05/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           30   Débito não efetuado - Sem contrato de Débito automático.                                                   Suspensa inadimplente                              Erro                                                        2
R2     02/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                   5
R2     06/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Erro                                                       15
R2     03/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           02   Débito não efetuado - Conta corrente não cadastrada.                                                       Suspensa inadimplente                              Cancelada                                                   1
R2     06/2010    06/2010    Oi Internet Banda Larga                            Cartão de Crédito                                  255  Cartao Vencido                                                                                             Suspensa inadimplente                              Erro                                                        3
R2     05/2010    06/2010    Oi Suporte                                         Débito em Conta Telefônica                         EX   Exclusão do Serviço - quando ocorre a exclusão do serviço de Terceiros                                     Suspensa inadimplente                              Erro não refaturável                                      202
